Indicator Code: CG1040
"Indicator Name: Cardiovascular diseases"
Export date: 5/30/2022 9:05:23 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: I00-I99"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,HRV,Croatia,2000,All,Age_all,[All],26712.00000000,53.16244079,418.54463990,609.66814260,
EU,Europe,HRV,Croatia,2001,All,Age_all,[All],26542.00000000,53.56393284,360.32636462,598.13496910,
EU,Europe,HRV,Croatia,2002,All,Age_all,[All],26698.00000000,52.79519073,355.36819632,600.87324451,
EU,Europe,HRV,Croatia,2003,All,Age_all,[All],27872.00000000,53.01378982,367.73395423,627.49335855,
EU,Europe,HRV,Croatia,2004,All,Age_all,[All],24959.00000000,50.16279444,311.26815733,562.21561472,
EU,Europe,HRV,Croatia,2005,All,Age_all,[All],26029.00000000,50.25873721,323.78583360,585.98190973,
EU,Europe,HRV,Croatia,2006,All,Age_all,[All],25611.00000000,50.83766724,308.35081553,576.82146620,
EU,Europe,HRV,Croatia,2007,All,Age_all,[All],26506.00000000,50.61584586,308.09535596,597.52271312,
EU,Europe,HRV,Croatia,2008,All,Age_all,[All],26235.00000000,50.30584265,296.92083823,591.61016284,
EU,Europe,HRV,Croatia,2009,All,Age_all,[All],25976.00000000,49.55927806,285.24413609,586.48775208,
EU,Europe,HRV,Croatia,2010,All,Age_all,[All],25631.00000000,49.19955467,273.45763633,580.17814826,
EU,Europe,HRV,Croatia,2011,All,Age_all,[All],24841.00000000,48.68970384,258.43023784,564.21067742,
EU,Europe,HRV,Croatia,2012,All,Age_all,[All],24988.00000000,48.32334171,252.61617708,585.53392830,
EU,Europe,HRV,Croatia,2013,All,Age_all,[All],24232.00000000,48.09272417,238.25114451,569.40251038,
EU,Europe,HRV,Croatia,2014,All,Age_all,[All],24112.00000000,47.42815555,231.17282027,568.89539870,
EU,Europe,HRV,Croatia,2015,All,Age_all,[All],25694.00000000,47.40153122,242.89713067,611.23740486,
EU,Europe,HRV,Croatia,2016,All,Age_all,[All],23190.00000000,44.99243336,214.64228962,555.53572545,
EU,Europe,HRV,Croatia,2017,All,Age_all,[All],23504.00000000,43.95160536,213.03221950,569.85873060,
EU,Europe,HRV,Croatia,2019,All,Age_all,[All],21951.00000000,42.38135691,191.35922448,539.96639324,
EU,Europe,CZE,Czechia,2000,All,Age_all,[All],58192.00000000,53.38666618,342.27259211,566.48316384,
EU,Europe,CZE,Czechia,2001,All,Age_all,[All],57404.00000000,53.27270196,336.50119359,557.99854619,
EU,Europe,CZE,Czechia,2002,All,Age_all,[All],57152.00000000,52.79971915,335.61566136,560.27121079,
EU,Europe,CZE,Czechia,2003,All,Age_all,[All],58065.00000000,52.17543670,338.78727364,569.17257805,
EU,Europe,CZE,Czechia,2004,All,Age_all,[All],55042.00000000,51.35616783,316.61298948,539.26144049,
EU,Europe,CZE,Czechia,2005,All,Age_all,[All],55155.00000000,51.09877893,307.72410195,538.93398652,
EU,Europe,CZE,Czechia,2006,All,Age_all,[All],52560.00000000,50.32506391,284.18995367,511.94908249,
EU,Europe,CZE,Czechia,2007,All,Age_all,[All],52464.00000000,50.13953133,272.68494304,508.23966507,
EU,Europe,CZE,Czechia,2008,All,Age_all,[All],52280.00000000,49.81514655,261.88007125,501.26120695,
EU,Europe,CZE,Czechia,2009,All,Age_all,[All],54100.00000000,50.36259204,262.18579089,515.65592387,
EU,Europe,CZE,Czechia,2010,All,Age_all,[All],53590.00000000,50.15723859,253.08016376,509.54398998,
EU,Europe,CZE,Czechia,2011,All,Age_all,[All],52725.00000000,49.34579964,243.75754658,502.30206298,
EU,Europe,CZE,Czechia,2012,All,Age_all,[All],53046.00000000,49.03086266,238.45241994,504.75360553,
