Indicator Code: CG1040
"Indicator Name: Cardiovascular diseases"
Export date: 5/26/2022 4:01:42 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: I00-I99"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
NAC,North America and the Caribbean,BHS,Bahamas,2009,All,Age_all,[All],682.00000000,33.74567046,248.21464249,195.07785952,
NAC,North America and the Caribbean,BHS,Bahamas,2010,All,Age_all,[All],690.00000000,34.10776075,246.71785299,194.39795798,
NAC,North America and the Caribbean,BHS,Bahamas,2011,All,Age_all,[All],707.00000000,33.39631554,243.10075722,196.61937048,
NAC,North America and the Caribbean,BHS,Bahamas,2012,All,Age_all,[All],615.00000000,30.85800301,204.78942812,169.14935751,
NAC,North America and the Caribbean,BHS,Bahamas,2013,All,Age_all,[All],622.00000000,30.12106538,199.89670115,169.40427977,
NAC,North America and the Caribbean,BHS,Bahamas,2014,All,Age_all,[All],686.00000000,31.77396943,214.66217340,185.08875356,
NAC,North America and the Caribbean,BHS,Bahamas,2015,All,Age_all,[All],739.00000000,32.97634984,229.14578897,197.48480783,
AS,Asia,BHR,Bahrain,2000,All,Age_all,[All],537.00000000,26.41416626,219.77642861,80.79914416,
AS,Asia,BHR,Bahrain,2001,All,Age_all,[All],564.00000000,28.49924204,210.20466291,80.85499860,
AS,Asia,BHR,Bahrain,2002,All,Age_all,[All],580.00000000,28.50122850,214.20526326,78.89589279,
AS,Asia,BHR,Bahrain,2003,All,Age_all,[All],656.00000000,31.13431419,248.76418996,84.24210359,
AS,Asia,BHR,Bahrain,2004,All,Age_all,[All],593.00000000,26.85688406,217.85053088,71.45921402,
AS,Asia,BHR,Bahrain,2005,All,Age_all,[All],527.00000000,23.79232506,153.15858465,59.29049417,
AS,Asia,BHR,Bahrain,2006,All,Age_all,[All],529.00000000,22.83124730,141.33042415,55.07995444,
AS,Asia,BHR,Bahrain,2007,All,Age_all,[All],614.00000000,27.04845815,136.93013831,59.07822573,
AS,Asia,BHR,Bahrain,2008,All,Age_all,[All],606.00000000,25.35564854,137.42453318,54.91637487,
AS,Asia,BHR,Bahrain,2009,All,Age_all,[All],612.00000000,25.63887725,129.50404640,51.93416581,
AS,Asia,BHR,Bahrain,2010,All,Age_all,[All],797.00000000,33.19450229,166.06796442,64.88722080,
AS,Asia,BHR,Bahrain,2011,All,Age_all,[All],817.00000000,32.33082707,168.31403933,68.36705662,
AS,Asia,BHR,Bahrain,2012,All,Age_all,[All],823.00000000,31.49636433,166.51326523,63.31041953,
AS,Asia,BHR,Bahrain,2013,All,Age_all,[All],839.00000000,32.65862203,158.14709925,63.80092287,
AS,Asia,BHR,Bahrain,2014,All,Age_all,[All],865.00000000,32.09647495,120.86789298,65.80138480,
NAC,North America and the Caribbean,BRB,Barbados,2000,All,Age_all,[All],819.00000000,33.71757925,192.03612760,301.64079333,
NAC,North America and the Caribbean,BRB,Barbados,2001,All,Age_all,[All],561.00000000,32.76869159,123.41745888,205.87155963,
NAC,North America and the Caribbean,BRB,Barbados,2002,All,Age_all,[All],708.00000000,31.60714286,153.43170386,258.93755143,
NAC,North America and the Caribbean,BRB,Barbados,2003,All,Age_all,[All],845.00000000,31.91087613,182.96321620,308.02430658,
NAC,North America and the Caribbean,BRB,Barbados,2004,All,Age_all,[All],666.00000000,28.88117953,142.97500188,241.93196844,
NAC,North America and the Caribbean,BRB,Barbados,2005,All,Age_all,[All],703.00000000,28.08629644,140.30847866,254.41240867,
